symbol,yahoo
0x0,0x0-USD
1INCH,1INCH-USD
A8,A8-USD
AA,AA-USD
AAVE,AAVE-USD
ABT,ABT-USD
ACA,ACA-USD
ACE,ACE28674-USD
ACH,ACH-USD
ACS,ACS23195-USD
ACX,ACX22620-USD
ADA,ADA-USD
ADX,ADX-USD
AERGO,AERGO-USD
AGI,AGI-USD
AGLD,AGLD-USD
AHT,AHT-USD
AIDOGE,AIDOGE-USD
AIOZ,AIOZ-USD
AITECH,AITECH-USD
AKRO,AKRO-USD
AKT,AKT-USD
AL,AL-USD
ALCX,ALCX-USD
ALEPH,ALEPH-USD
ALEX,ALEX-USD
ALGO,ALGO-USD
ALI,ALI16876-USD
ALICE,ALICE-USD
ALPACA,ALPACA-USD
ALPH,ALPH-USD
ALPHA,ALPHA-USD
ALU,ALU-USD
AMP,AMP-USD
AMPL,AMPL-USD
AOG,AOG-USD
APE,APE18876-USD
APEX,APEX19843-USD
API3,API3-USD
APT,APT21794-USD
AQT,AQT-USD
AR,AR-USD
ARB,ARB11841-USD
ARDR,ARDR-USD
ARG,ARG-USD
ARK,ARK-USD
ARPA,ARPA-USD
ASD,ASD-USD
ASM,ASM-USD
ASTR,ASTR-USD
ATA,ATA-USD
ATLAS,ATLAS-USD
ATOM,ATOM-USD
ATOR,ATOR-USD
ATR,ATR-USD
AUCTION,AUCTION-USD
AUDIO,AUDIO-USD
AURORA,AURORA14803-USD
AVA,AVA-USD
AVAX,AVAX-USD
AXL,AXL17799-USD
AXS,AXS-USD
AZERO,AZERO-USD
BabyDoge,BABYDOGE-USD
BADGER,BADGER-USD
BAKE,BAKE-USD
BAL,BAL-USD
BANANA,BANANA28066-USD
BAND,BAND-USD
BAT,BAT-USD
BCH,BCH-USD
BDX,BDX-USD
BEAM,BEAM28298-USD
BEL,BEL-USD
BETA,BETA-USD
BFC,BFC7817-USD
BFIC,BFIC-USD
BGB,BGB-USD
BICO,BICO-USD
BIFI,BIFI7311-USD
BIGTIME,BIGTIME-USD
BITCOIN,BITCOIN25220-USD
BLUR,BLUR-USD
BLZ,BLZ-USD
BMX,BMX-USD
BNB,BNB-USD
BNT,BNT-USD
BNX,BNX23635-USD
BOB,BOB24594-USD
BOBA,BOBA-USD
BOBO,BOBO25269-USD
BONE,BONE11865-USD
BORA,BORA-USD
BORG,BORG-USD
BOSON,BOSON-USD
BOTTO,BOTTO-USD
BRISE,BRISE-USD
BSV,BSV-USD
BSW,BSW-USD
BTC,BTC-USD
BTG,BTG-USD
BURGER,BURGER-USD
BZZ,BZZ-USD
C98,C98-USD
CAKE,CAKE-USD
CBK,CBK-USD
CCD,CCD-USD
CEEK,CEEK-USD
CEL,CEL-USD
CELO,CELO-USD
CELR,CELR-USD
CERE,CERE-USD
CETUS,CETUS-USD
CFG,CFG-USD
CFX,CFX-USD
CGPT,CGPT-USD
CHEEL,CHEEL-USD
CHR,CHR-USD
CHZ,CHZ-USD
CITY,CITY10049-USD
CKB,CKB-USD
CLORE,CLORE-USD
CLV,CLV-USD
COMBO,COMBO-USD
COMP,COMP5692-USD
CORE,CORE23254-USD
COREUM,COREUM-USD
COS,COS-USD
COTI,COTI-USD
CPOOL,CPOOL-USD
CQT,CQT-USD
CREAM,CREAM-USD
CRO,CRO-USD
CROWN,CROWN25714-USD
CRTS,CRTS-USD
CRV,CRV-USD
CSPR,CSPR-USD
CTC,CTC-USD
CTK,CTK4807-USD
CTSI,CTSI-USD
CTX,CTX-USD
CTXC,CTXC-USD
CUDOS,CUDOS-USD
CVC,CVC-USD
CVX,CVX-USD
DAG,DAG-USD
DAO,DAO-USD
DAR,DAR-USD
DASH,DASH-USD
DATA,DATA-USD
DCB,DCB-USD
DCR,DCR-USD
DEGO,DEGO-USD
DENT,DENT-USD
DEP,DEP-USD
DESO,DESO-USD
DEXE,DEXE-USD
DFI,DFI-USD
DGB,DGB-USD
DIA,DIA-USD
DIMO,DIMO-USD
DIONE,DIONE-USD
DKA,DKA-USD
DMTR,DMTR-USD
DNT,DNT-USD
DNX,DNX-USD
DODO,DODO-USD
DOGE,DOGE-USD
DORA,DORA27966-USD
DOT,DOT-USD
DUSK,DUSK-USD
DYDX,DYDX-USD
EDU,EDU24613-USD
EGLD,EGLD-USD
EL,EL-USD
ELA,ELA-USD
ELF,ELF-USD
ENJ,ENJ-USD
ENS,ENS-USD
EOS,EOS-USD
ERG,ERG-USD
ERN,ERN-USD
ETC,ETC-USD
ETH,ETH-USD
ETHW,ETHW-USD
ETN,ETN-USD
EUL,EUL-USD
EVER,EVER-USD
EWT,EWT-USD
FAR,FAR22331-USD
FARM,FARM-USD
FCT,FCT4953-USD
FET,FET-USD
FIDA,FIDA-USD
FIL,FIL-USD
FIO,FIO-USD
FIRO,FIRO-USD
FLM,FLM-USD
FLOW,FLOW-USD
FLR,FLR-USD
FLUX,FLUX-USD
FLZ,FLZ-USD
FORT,FORT20622-USD
FORTH,FORTH-USD
